restart_id	from_session	to_session	world_initialized_local	first_500_sample_local	recovery_seconds	cohort_before_snapshot	cohort_after_snapshot	cohort_level_changes	cohort_online_after
clean_restart_1	SES-0003	SES-0004	2026-09-16T17:03:44.494029-03:00	2026-09-16T17:05:46-03:00	121.506	2026-09-16T17:00:38-03:00	2026-09-16T17:10:17-03:00	0	10
clean_restart_2	SES-0004	SES-0005	2026-09-16T21:48:51.175897-03:00	2026-09-16T21:50:36-03:00	104.824	2026-09-16T21:40:59-03:00	2026-09-16T21:50:36-03:00	0	10
